date,ticker,price,shares,market_value
2026-08-18,360200.KS,27300.0,16.0,436800.0
2026-08-18,203780.KS,35250.0,8.0,282000.0
2026-08-18,332610.KS,128630.0,1.0,128630.0
2026-08-18,381170.KS,31195.0,67.0,2090065.0
2026-08-18,381180.KS,45630.0,51.0,2327130.0
2026-08-18,133690.KS,185900.0,4.0,743600.0
2026-08-19,360200.KS,26925.0,16.0,430800.0
2026-08-19,203780.KS,35260.0,8.0,282080.0
2026-08-19,332610.KS,127415.0,1.0,127415.0
2026-08-19,381170.KS,30680.0,67.0,2055560.0
2026-08-19,381180.KS,43090.0,51.0,2197590.0
2026-08-19,133690.KS,181745.0,4.0,726980.0
2026-08-20,360200.KS,26965.0,16.0,431440.0
2026-08-20,203780.KS,37325.0,8.0,298600.0
2026-08-20,332610.KS,127085.0,1.0,127085.0
2026-08-20,381170.KS,30850.0,67.0,2066950.0
2026-08-20,381180.KS,43145.0,51.0,2200395.0
2026-08-20,133690.KS,182185.0,4.0,728740.0
2026-08-21,360200.KS,26585.0,16.0,425360.0
2026-08-21,203780.KS,36240.0,8.0,289920.0
2026-08-21,332610.KS,126435.0,1.0,126435.0
2026-08-21,381170.KS,30425.0,67.0,2038475.0
2026-08-21,381180.KS,42860.0,51.0,2185860.0
2026-08-21,133690.KS,179715.0,4.0,718860.0
2026-08-24,360200.KS,26520.0,16.0,424320.0
2026-08-24,203780.KS,36740.0,8.0,293920.0
2026-08-24,332610.KS,125860.0,1.0,125860.0
2026-08-24,381170.KS,30200.0,67.0,2023400.0
2026-08-24,381180.KS,41225.0,51.0,2102475.0
2026-08-24,133690.KS,177885.0,4.0,711540.0
2026-08-25,360200.KS,26635.0,16.0,426160.0
2026-08-25,203780.KS,36435.0,8.0,291480.0
2026-08-25,332610.KS,126040.0,1.0,126040.0
2026-08-25,381170.KS,30310.0,67.0,2030770.0
2026-08-25,381180.KS,41880.0,51.0,2135880.0
2026-08-25,133690.KS,179030.0,4.0,716120.0
2026-08-27,360200.KS,26665.0,16.0,426640.0
2026-08-27,203780.KS,37230.0,8.0,297840.0
2026-08-27,332610.KS,125900.0,1.0,125900.0
2026-08-27,381170.KS,30500.0,67.0,2043500.0
2026-08-27,381180.KS,42455.0,51.0,2165205.0
2026-08-27,133690.KS,179765.0,4.0,719060.0
2026-08-28,360200.KS,26655.0,16.0,426480.0
2026-08-28,203780.KS,36655.0,8.0,293240.0
2026-08-28,332610.KS,125310.0,1.0,125310.0
2026-08-28,381170.KS,30710.0,67.0,2057570.0
2026-08-28,381180.KS,42170.0,51.0,2150670.0
2026-08-28,133690.KS,180165.0,4.0,720660.0
2026-08-29,360200.KS,26575.0,16.0,425200.0
2026-08-29,203780.KS,36500.0,8.0,292000.0
2026-08-29,332610.KS,124850.0,1.0,124850.0
2026-08-29,381170.KS,30610.0,67.0,2050870.0
2026-08-29,381180.KS,41925.0,51.0,2138175.0
2026-08-29,133690.KS,179490.0,4.0,717960.0
2026-09-01,360200.KS,26340.0,16.0,421440.0
2026-09-01,203780.KS,35420.0,8.0,283360.0
2026-09-01,332610.KS,124190.0,1.0,124190.0
2026-09-01,381170.KS,30455.0,67.0,2040485.0
2026-09-01,381180.KS,41005.0,51.0,2091255.0
2026-09-01,133690.KS,178015.0,4.0,712060.0
2026-09-02,360200.KS,26135.0,16.0,418160.0
2026-09-02,203780.KS,35790.0,8.0,286320.0
2026-09-02,332610.KS,124325.0,1.0,124325.0
2026-09-02,381170.KS,30270.0,67.0,2028090.0
2026-09-02,381180.KS,39845.0,51.0,2032095.0
2026-09-02,133690.KS,175475.0,4.0,701900.0
2026-09-03,360200.KS,26120.0,16.0,417920.0
2026-09-03,203780.KS,35845.0,8.0,286760.0
2026-09-03,332610.KS,123565.0,1.0,123565.0
2026-09-03,381170.KS,30400.0,67.0,2036800.0
2026-09-03,381180.KS,39965.0,51.0,2038215.0
2026-09-03,133690.KS,175270.0,4.0,701080.0
2026-09-04,360200.KS,26260.0,16.0,420160.0
2026-09-04,203780.KS,36025.0,8.0,288200.0
2026-09-04,332610.KS,122825.0,1.0,122825.0
